2007,0.03,0.02,to,0.04,0.03,0.02,to,0.04,0.03,0.02,to,0.04,0.03,0.02,to,0.04,0.03,0.02,to,0.04
2010,0.04,0.03,to,0.05,0.04,0.03,to,0.05,0.04,0.03,to,0.05,0.04,0.03,to,0.05,0.04,0.03,to,0.05
2020,0.08,0.06,to,0.10,0.08,0.06,to,0.10,0.08,0.06,to,0.10,0.08,0.06,to,0.10,0.08,0.06,to,0.11
2030,0.12,0.09,to,0.16,0.13,0.09,to,0.16,0.13,0.09,to,0.16,0.12,0.09,to,0.16,0.13,0.10,to,0.17
2040,0.17,0.13,to,0.22,0.17,0.13,to,0.22,0.17,0.13,to,0.22,0.17,0.12,to,0.21,0.19,0.14,to,0.24
2050,0.23,0.17,to,0.30,0.22,0.16,to,0.28,0.23,0.17,to,0.29,0.22,0.16,to,0.28,0.25,0.19,to,0.32
2060,0.30,0.21,to,0.38,0.26,0.18,to,0.35,0.28,0.21,to,0.37,0.27,0.19,to,0.35,0.33,0.24,to,0.42
2070,0.37,0.26,to,0.48,0.31,0.21,to,0.41,0.35,0.25,to,0.45,0.33,0.24,to,0.43,0.42,0.31,to,0.54
2080,0.44,0.31,to,0.58,0.35,0.24,to,0.48,0.41,0.28,to,0.54,0.40,0.28,to,0.53,0.51,0.37,to,0.67
2090,0.52,0.36,to,0.69,0.40,0.26,to,0.54,0.47,0.32,to,0.62,0.47,0.33,to,0.63,0.62,0.45,to,0.81
2100,0.60,0.42,to,0.80,0.44,0.28,to,0.61,0.53,0.36,to,0.71,0.55,0.38,to,0.73,0.74,0.53,to,0.98
